physical_sample_id,scanner,feature,feature_label,role,expected_direction,baseline,clean,clean_minus_baseline
BCG2-5,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,43.2851362126887,38.59836215102013,-4.686774061668565
BCG2-5,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.65602097997007,40.11661493753519,-11.539406042434884
BCG2-5,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,41.62015263631209,30.32503231370921,-11.29512032260288
BCG2-5,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,54.94703189376708,42.067943500230136,-12.879088393536946
BCG2-6,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,44.01343131273173,40.20012548137304,-3.81330583135869
BCG2-6,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.12839514109866,42.08550866646299,-9.042886474635665
BCG2-6,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,45.0421430937984,31.175878547075563,-13.866264546722839
BCG2-6,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,54.09041088005663,42.66582095291693,-11.4245899271397
BCG2-7,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,45.91299694664748,39.28532479955059,-6.627672147096895
BCG2-7,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.164812221353536,38.56184954675353,-12.602962674600008
BCG2-7,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,43.425351004599165,28.090988185221345,-15.33436281937782
BCG2-7,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,53.174026468722445,40.36094850252269,-12.813077966199756
BCG2-8,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,44.283323457615225,42.355767369955466,-1.9275560876597595
BCG2-8,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,48.90882380126404,39.41084887783973,-9.497974923424309
BCG2-8,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,43.20412994326388,28.12272358546688,-15.081406357797
BCG2-8,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,53.14229003823801,40.96315048584808,-12.179139552389927
BCG3-1,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,42.47056550064395,38.26485955106737,-4.205705949576583
BCG3-1,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,54.34727155720616,42.26415042921884,-12.083121127987326
BCG3-1,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,43.161435866574045,29.762123079819165,-13.39931278675488
BCG3-1,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,57.7620456214623,43.15466982866426,-14.607375792798038
BCG3-2,LABscanner,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,47.56918821298019,42.16933364670292,-5.39985456627727
BCG3-2,TRIOS3,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,51.70186842670981,42.20830916829086,-9.493559258418948
BCG3-2,TRIOS5,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,41.43770758268685,29.46055597480201,-11.977151607884839
BCG3-2,iTERO,lab_chroma_mean,Mean C*ab (chroma),PRIMARY,decrease,52.31229552633056,41.6580536786066,-10.65424184772396
